,label,tweet,label_id,clean_teks
36,fear,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata",1,ya sakit hati memamg sulit nya jenjang rumah tangga publik situasi inimedia jahat selesai lontar
37,happy,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu,2,ponakan kelas sd suka nonton video tutorial masak craft youtube kelas sd baca novel marga t amp mira pinjam sepupu
38,happy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,2,bberapa sejahtera keluarga makmak teus tingkat sampai suami pangkat paham pangkat tni pokok hidup bekecukupan
39,sadness,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.",4,dukung doa sikap pilih upaya mempertahankannyadisini bahagia lihat sedih kebahagianku pudarseperti terima undang nikah
40,happy,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,2,jnejnt pakai kirim paketbeli olshop jastip kota beda pulau maksimal pakai mobil susah cari alamat bingung masuk kompleksgang malam bain jalan rumah paket kirim
41,anger,"Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!",0,gemes orang anggap wajar leceh sexual verbal verbal fisik apa benar
42,fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ,1,hukum main musik stad haroooom hukum dosa main kirakira cakap pena ustad buah acara tv intro pakai musik
43,anger,Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow,0,hebat mardani oeang mulut fakta capres lagipula koalisi pks gerindra yaow
44,sadness,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent",4,oh iya nya ngelahirin anak cewek nya tahun kasih nikmat uji si makmak kali berat tinggal suami tinggal singel parent
45,happy,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ,2,z suka twitter soalny perempuan ji teman biar omel tablengker ndada bahaya bahas monsteration bebas bahas puasa bebas update status stres monsteration pi blok cowok mengupdate
46,anger,Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?,0,ngerti ciwiciwi nyinyirin via vallen korban loh susah support gurlzz
47,anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu",0,libur rencana nonton jurassic world kayak deh kondisi fit kesal rusak rencana belanga kesal
48,anger,"Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan",0,nunggu anak anteng sabar luas samudra bapak bikin anak nang hmmm ingin marah lampias
49,love,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".",3,ku rindu bisik mu telinga seraya moga kelak anak guna orang moga sayang orang tua mu
50,anger,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...,0,hasil sekolah sekolah mikirlah mahkamah internasional wenang adil perkara genosida dsbnya
51,anger,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo",0,elu teh asumsi guw mah kacang kulit maksud hayo maksud loooo
52,anger,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?",0,web permata profesional program cashback ribu token pln klik info masuk program paket kuota data piye iki
53,fear,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.",1,takut mas tumpang politik balut agama bahaya masyarakat sensitif
54,sadness,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw",4,cerita siapa hancur hidup pikirin gimana hati ku sedih nang tetes air mata kayak lirik lagu sayang pia palen deh wkwkw
55,sadness,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam",4,puasa saur siang rasa makan saur supeerrr dupeerr ekspress menit imsak bangun yassalaaam
56,fear,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan.",1,thr apbd kuasa takut garis bawah kpk ggl thr ya buk tri bilang aman takut
57,anger,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center smg . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalo gini trs kan jd jgkel sndri.,0,tolong bantu username ya lptop kali buka dokumen not respondingpdhal bawa hp center moga lptop produk gagal gimanabeli maret gin jgkel
58,anger,ini udah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tgl 11?,0,masuk proses jual pas buka detail ko gin produk proses proses tanggal
59,anger,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yg lokasi hanya 200 meter dr areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?,0,username semen indonesia nambang loh rembangmalah usaha lokasi meter areal tambang semen protes tahun lamanyaknp pas semen protes
60,anger,SIAPA YG BILANG PUNYA ANAK MENYENANGKAN TEROS *sodorin anak yg tantrum karna ngantuk tp gak mau bobo* *istigfar kenceng2*,0,bilang anak senang sodorin anak tantrum ngantuk tidur istigfar kencang
61,sadness,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi",4,oon bicara orang lalai rubah siklus alur
62,anger,"Punya sahabat cowo 2 nih, tapi sering nya ga konsisten terus sering bohong lagi. Kenapa sih? Udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga. Apa kodratnya suka bohong apa gimana?",0,sahabat cowok nih nya konsisten bohong sih kali dimarahin bohong mempan kodrat suka bohong gimana
63,happy,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,",2,libur lebaran tuh cepat gendong cerrier pakai sepatu pergi ketemu alam damai dengan
64,anger,Siapa bilang kafir gabung sama khilafah bro jgn alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL],0,bilang kafir gabung khilafah bro alih isu selundup kaum bumidatar pro pancasila username url
65,happy,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]",2,doa restu orang tua giling ya pas mentok cari literatur tambah temu rumah kemarin panik kudu pesan banyumas berkah ramadan url
66,anger,Salah satu contoh tidak tau berterima kasih... pdhl datang pas sdh terkenal pi wannaone... ckckckc yg dl berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME],0,salah contoh terima kasih pas kenal pi wannaone ckckckc juang ma ko deh wanna ones swing entertainment warns legal action against fansite masters url via username
67,fear,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ",1,pgi rasa sakit perut kirain haid beli kiranti pas cek kaga tolong atulah haid biar solat ied
68,sadness, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,4,duka cita kawan a cak moga keluarga tinggal a sabar amp meridoi pergi alm sajete wani
69,anger,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,0,username jaring mati ya buka mobile jkn puskesmes piye tunjuk kartu elektoniknya kecewa
70,anger," lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]",0,lahir sekolah bong pki bong bandit rampok jenis menganggu orang soeharto bilang kejam orang pki bandit rampok bong bong bongakkk url
71,anger,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak,0,dulunya usaha karyawan bawaannye usaha ngatur flexible duit faaak
72,sadness,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,4,salah efek rapi bom orang bikin event negara takut jogja indonesia event internasional negara konfirmasi takut rapi teror moga rapi lekas reda moga bom
73,anger,Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],0,baik gubernur anies baswedan mosi percaya biar lengser username username username username username username username username username username url
74,anger,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL],0,kaum oposisi bikin geger media termsk medsos rupiah kuat musim ribut khusus lemah salah presiden username url
75,sadness,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?",4,puasa pagi kesana kemari mmbawa alamat eh ayuting kali enggk ding siang tetangga sbelah goreng telur yah bau idung hikss piye sih mbak
76,anger,[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih,0,username heee kemarin ngeliat hoak tetang pohon plastik kali akun ygdisebarkan facebook nol skaligus nonjok muka junjung sdr terima kasih
77,anger,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]",0,username min gimana kurir salah kirim alamat orang tanggung jawab gimana tolong respon cepat thanks url
78,fear,Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL],1,pas habis baca buku bule pdkt bilang cariin rumah samamobil dicariin mobil rumah mewah si bule oke niat kirim uang jt pakai pos bilang hadiah masuk akal kirim pakai pos url
79,anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..,0,username username username username uang konsumsi buka puasa bareng anak yatim bayar katering
80,sadness,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,4,niat masjid sholat nya lantai harap obob manjah solat fact fullhouse mpe shaf selamat tinggal
81,happy,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ",2,excited bicara orang kreatif cengang ide pikir oleh oh iya pikir
82,anger,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yg menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??",0,miris cipta karya susah payah uras pikirantenagawaktu materi kalah oknum jiplak danatau dar terima beres manfaat karya orang gimmik sensasi gimana username
83,anger,"Sebelah mana stereotyping-nya dari pernyataan saya? Coba ditunjukkan, siapa tahu saya salah bicara. Bagus dong kalau banyak yang mengecam. Semakin banyak makin terdengar suara untuk kebenaran, semakin bagus. Kalau benar tapi kalah keras sama yang salah, itu yang harus diatasi. [URL]",0,belah stereotypingnya nyata coba salah bicara bagus kecam dengar suara benar bagus kalah keras salah atas url
84,anger,Tipikal cowo menye menye bgt ni. Paling ngga bisa diajak argumen. Menyalahkan orang dan mengeluh terus ni manusia maha sempurna. Pen ngatain goblok tapi puasa.,0,tipikal cowok menye menye ajak argumen salah orang keluh manusia maha sempurna pen ngatain goblok puasa
85,happy,Tiada henti 2ny q mengucap syukut alhmdllh.... Skrg aku bsa.... Uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah.... Mski tak sbrpa inysllh lma2 mmbukit amn [URL],2,tiada henti ny ucap syukut alhmdllh uang panitia kemarin alhmdllh trmkah bri brlmpah sbrpa inysllh lma mmbukit amn url
86,anger,"Kamu mau ngomong apa.Kayaknya kamu dendam kpd Anies.Pernah disakiti olh gub Anies?Salah apa Anies kpdmu?.Knp dendam?Kamu klmpok DKI42% yg tdk puny gub,Anies bukan [URL] pada tempatnya kamu maki2 Anies.Salah. [URL]",0,bicara apakayaknya dendam aniespernah sakit olh gub aniessalah anies kpdmuknp dendamkamu klmpok dki puny gubanies url tempat maki aniessalah url
87,sadness,Ketika di group keluarga udah pada ngomongin mudik. Duuh pengen mudik. Tapi apa daya suami libur cuma 4 hari dr hari H lebaran. Itu juga kalo g di telpon disuruh masuk. 2 tahun lalu malah habis sholat eid lgsg kerja ,4,group keluarga bicara mudik duuh mudik daya suami libur h lebaran telepon suruh masuk habis sholat eid langsung kerja
88,sadness,Orang yg pernah kalah dalam pertarungan POLITIK sulit untuk bisa disembuhkan Karena mereka tdk bs meraih impian dan sdh kehilangan banyak Harta.,4,orang kalah tarung politik sulit sembuh raih impi hilang harta
89,sadness,"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir doank tapi, pikiran ke mana mana, random.. Tapi pasti ada dia :(",4,nggada sinyal rumah buat berfikir berfikir pikir random
90,fear,"Ada khabar kasus tuduhan chat mesum terhadap Imam Besar Habib Rizieq sdh dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak2 kita yg menyidik.amin",1,kabar tuduh chat mesum imam habib rizieq henti mohon bantu doa moga moga suci ramadhan buka mata hati menyidikamin
91,fear,"Jangan ngecengin gua lagi ya gaes [USERNAME] [USERNAME] [USERNAME], orang ini udah ada blog-nya juga.. ..ya walaupun nulisnya nggak jam 2 dinihari sih.",1,ngecengin ya gaes username username username orang blog ya nulisnya jam dinihari sih
92,anger,Cari orang2 yg selalu menyudutkan Ansor. Sabar itu bagus tp kalau terus menerus difitnah disalahkan jangan tinggal diam Saatnya,0,cari orang sudut ansor sabar bagus terus fitnah salah tinggal diam
